machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,57551,2026-09-10 17:04:25.547020+00:00,2026-09-10 17:04:25.582978+00:00,2026-09-10 17:04:25.508965+00:00,2026-09-10 17:04:25.510053+00:00,2026-09-10 17:04:25.509306+00:00,2026-09-10 17:04:25.510084+00:00,2026-09-10 17:04:25.512219+00:00,,,,,0.34099999999999997,0.778,0.747,2.1350000000000002,34.801,35.958,74.01299999999999,CONFIRMED
M01,57552,2026-09-10 17:04:25.638089+00:00,2026-09-10 17:04:25.666049+00:00,2026-09-10 17:04:25.613852+00:00,2026-09-10 17:04:25.617945+00:00,2026-09-10 17:04:25.614049+00:00,2026-09-10 17:04:25.614618+00:00,2026-09-10 17:04:25.614940+00:00,,,,,0.19699999999999998,0.569,3.8960000000000004,0.322,23.149,27.959999999999997,52.197,CONFIRMED
M01,57553,2026-09-10 17:04:25.747528+00:00,2026-09-10 17:04:25.783771+00:00,2026-09-10 17:04:25.720039+00:00,2026-09-10 17:04:25.720857+00:00,2026-09-10 17:04:25.720222+00:00,2026-09-10 17:04:25.720813+00:00,2026-09-10 17:04:25.721292+00:00,,,,,0.183,0.5910000000000001,0.635,0.479,26.236,36.242999999999995,63.732,CONFIRMED
M01,57554,2026-09-10 17:04:25.854341+00:00,2026-09-10 17:04:25.886644+00:00,2026-09-10 17:04:25.828941+00:00,2026-09-10 17:04:25.829864+00:00,2026-09-10 17:04:25.829129+00:00,2026-09-10 17:04:25.830037+00:00,2026-09-10 17:04:25.830649+00:00,,,,,0.188,0.9079999999999999,0.735,0.612,23.692,32.303,57.702999999999996,CONFIRMED
M01,57555,2026-09-10 17:04:25.957104+00:00,2026-09-10 17:04:25.985488+00:00,2026-09-10 17:04:25.934390+00:00,2026-09-10 17:04:25.938731+00:00,2026-09-10 17:04:25.934569+00:00,2026-09-10 17:04:25.935283+00:00,2026-09-10 17:04:25.935678+00:00,,,,,0.179,0.714,4.162,0.395,21.426000000000002,28.384,51.098,CONFIRMED
M01,57556,2026-09-10 17:04:26.073670+00:00,2026-09-10 17:04:26.101653+00:00,2026-09-10 17:04:26.047175+00:00,2026-09-10 17:04:26.048183+00:00,2026-09-10 17:04:26.047424+00:00,2026-09-10 17:04:26.048183+00:00,2026-09-10 17:04:26.048584+00:00,,,,,0.24899999999999997,0.759,0.759,0.40099999999999997,25.086000000000002,27.983,54.478,CONFIRMED
M01,57557,2026-09-10 17:04:26.172534+00:00,2026-09-10 17:04:26.198806+00:00,2026-09-10 17:04:26.151082+00:00,2026-09-10 17:04:26.151913+00:00,2026-09-10 17:04:26.151234+00:00,2026-09-10 17:04:26.151959+00:00,2026-09-10 17:04:26.152375+00:00,,,,,0.152,0.725,0.679,0.416,20.159,26.272,47.724000000000004,CONFIRMED
M01,57558,2026-09-10 17:04:26.283465+00:00,2026-09-10 17:04:26.315673+00:00,2026-09-10 17:04:26.254691+00:00,2026-09-10 17:04:26.255987+00:00,2026-09-10 17:04:26.254937+00:00,2026-09-10 17:04:26.255607+00:00,2026-09-10 17:04:26.256030+00:00,,,,,0.24600000000000002,0.67,1.05,0.423,27.435000000000002,32.208,60.982,CONFIRMED
M01,57559,2026-09-10 17:04:26.411335+00:00,2026-09-10 17:04:26.440320+00:00,2026-09-10 17:04:26.362134+00:00,2026-09-10 17:04:26.362948+00:00,2026-09-10 17:04:26.362294+00:00,2026-09-10 17:04:26.362860+00:00,2026-09-10 17:04:26.363226+00:00,,,,,0.16,0.566,0.6539999999999999,0.366,48.109,28.985,78.186,CONFIRMED
M01,57560,2026-09-10 17:04:26.504124+00:00,2026-09-10 17:04:26.537285+00:00,2026-09-10 17:04:26.476624+00:00,2026-09-10 17:04:26.483226+00:00,2026-09-10 17:04:26.476938+00:00,2026-09-10 17:04:26.483077+00:00,2026-09-10 17:04:26.483403+00:00,,,,,0.314,6.139,6.288,0.326,20.721,33.161,60.661,CONFIRMED
M01,57561,2026-09-10 17:04:26.612226+00:00,2026-09-10 17:04:26.639988+00:00,2026-09-10 17:04:26.588463+00:00,2026-09-10 17:04:26.589361+00:00,2026-09-10 17:04:26.588611+00:00,2026-09-10 17:04:26.589315+00:00,2026-09-10 17:04:26.589828+00:00,,,,,0.148,0.704,0.75,0.513,22.398,27.761999999999997,51.525,CONFIRMED
M01,57562,2026-09-10 17:04:26.725030+00:00,2026-09-10 17:04:26.753808+00:00,2026-09-10 17:04:26.692540+00:00,2026-09-10 17:04:26.699219+00:00,2026-09-10 17:04:26.692854+00:00,2026-09-10 17:04:26.696250+00:00,2026-09-10 17:04:26.696648+00:00,,,,,0.314,3.3960000000000004,6.365,0.398,28.382,28.778000000000002,61.268,CONFIRMED
M01,57563,2026-09-10 17:04:26.832596+00:00,2026-09-10 17:04:26.867205+00:00,2026-09-10 17:04:26.804880+00:00,2026-09-10 17:04:26.805615+00:00,2026-09-10 17:04:26.805042+00:00,2026-09-10 17:04:26.805607+00:00,2026-09-10 17:04:26.805976+00:00,,,,,0.162,0.565,0.5730000000000001,0.36900000000000005,26.62,34.609,62.324999999999996,CONFIRMED
M01,57564,2026-09-10 17:04:26.928168+00:00,2026-09-10 17:04:26.953001+00:00,2026-09-10 17:04:26.907363+00:00,2026-09-10 17:04:26.908587+00:00,2026-09-10 17:04:26.907585+00:00,2026-09-10 17:04:26.908649+00:00,2026-09-10 17:04:26.909028+00:00,,,,,0.222,1.064,1.002,0.379,19.14,24.833000000000002,45.638,CONFIRMED
M01,57565,2026-09-10 17:04:27.048077+00:00,2026-09-10 17:04:27.076174+00:00,2026-09-10 17:04:27.011397+00:00,2026-09-10 17:04:27.012618+00:00,2026-09-10 17:04:27.011569+00:00,2026-09-10 17:04:27.012759+00:00,2026-09-10 17:04:27.013141+00:00,,,,,0.17200000000000001,1.1900000000000002,1.049,0.382,34.936,28.097,64.777,CONFIRMED
M01,57566,2026-09-10 17:04:27.145397+00:00,2026-09-10 17:04:27.173103+00:00,2026-09-10 17:04:27.122369+00:00,2026-09-10 17:04:27.124126+00:00,2026-09-10 17:04:27.122586+00:00,2026-09-10 17:04:27.124077+00:00,2026-09-10 17:04:27.124460+00:00,,,,,0.217,1.4909999999999999,1.5399999999999998,0.383,20.937,27.706000000000003,50.734,CONFIRMED
M01,57567,2026-09-10 17:04:27.250960+00:00,2026-09-10 17:04:27.288387+00:00,2026-09-10 17:04:27.227192+00:00,2026-09-10 17:04:27.230422+00:00,2026-09-10 17:04:27.227371+00:00,2026-09-10 17:04:27.228223+00:00,2026-09-10 17:04:27.228959+00:00,,,,,0.179,0.852,3.0509999999999997,0.736,22.001,37.427,61.195,CONFIRMED
