machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,60920,2026-09-10 17:15:54.464946+00:00,2026-09-10 17:15:54.501597+00:00,2026-09-10 17:15:54.426682+00:00,2026-09-10 17:15:54.427418+00:00,2026-09-10 17:15:54.426824+00:00,2026-09-10 17:15:54.427317+00:00,2026-09-10 17:15:54.428277+00:00,,,,,0.14200000000000002,0.49299999999999994,0.594,0.9600000000000001,36.669,36.651,74.91499999999999,CONFIRMED
M01,60921,2026-09-10 17:15:54.533022+00:00,2026-09-10 17:15:54.570361+00:00,2026-09-10 17:15:54.454397+00:00,2026-09-10 17:15:54.455807+00:00,2026-09-10 17:15:54.454561+00:00,2026-09-10 17:15:54.502170+00:00,2026-09-10 17:15:54.502595+00:00,,,,,0.164,47.609,1.246,0.425,30.427,37.339,115.964,CONFIRMED
M01,60922,2026-09-10 17:15:54.595341+00:00,2026-09-10 17:15:54.626912+00:00,2026-09-10 17:15:54.482764+00:00,2026-09-10 17:15:54.483316+00:00,2026-09-10 17:15:54.482911+00:00,2026-09-10 17:15:54.570771+00:00,2026-09-10 17:15:54.571037+00:00,,,,,0.147,87.86,0.40499999999999997,0.266,24.304,31.571,144.148,CONFIRMED
M01,60923,2026-09-10 17:15:54.646327+00:00,2026-09-10 17:15:54.680585+00:00,2026-09-10 17:15:54.512148+00:00,2026-09-10 17:15:54.513554+00:00,2026-09-10 17:15:54.512507+00:00,2026-09-10 17:15:54.627737+00:00,2026-09-10 17:15:54.628319+00:00,,,,,0.359,115.23,1.047,0.5820000000000001,18.008,34.257999999999996,168.437,CONFIRMED
M01,60924,2026-09-10 17:15:54.701748+00:00,2026-09-10 17:15:54.732670+00:00,2026-09-10 17:15:54.542698+00:00,2026-09-10 17:15:54.543660+00:00,2026-09-10 17:15:54.542912+00:00,2026-09-10 17:15:54.681093+00:00,2026-09-10 17:15:54.681435+00:00,,,,,0.214,138.181,0.748,0.342,20.313000000000002,30.922,189.972,CONFIRMED
M01,60925,2026-09-10 17:15:54.753455+00:00,2026-09-10 17:15:54.790985+00:00,2026-09-10 17:15:54.572024+00:00,2026-09-10 17:15:54.573357+00:00,2026-09-10 17:15:54.572175+00:00,2026-09-10 17:15:54.733128+00:00,2026-09-10 17:15:54.733468+00:00,,,,,0.15100000000000002,160.953,1.1820000000000002,0.34,19.987000000000002,37.53,218.96099999999998,CONFIRMED
M01,60926,2026-09-10 17:15:54.820703+00:00,2026-09-10 17:15:54.854050+00:00,2026-09-10 17:15:54.603056+00:00,2026-09-10 17:15:54.604233+00:00,2026-09-10 17:15:54.603195+00:00,2026-09-10 17:15:54.791467+00:00,2026-09-10 17:15:54.791910+00:00,,,,,0.13899999999999998,188.272,1.038,0.443,28.793,33.347,250.994,CONFIRMED
M01,60927,2026-09-10 17:15:54.877410+00:00,2026-09-10 17:15:54.909374+00:00,2026-09-10 17:15:54.632449+00:00,2026-09-10 17:15:54.633171+00:00,2026-09-10 17:15:54.632609+00:00,2026-09-10 17:15:54.855191+00:00,2026-09-10 17:15:54.855567+00:00,,,,,0.16,222.582,0.562,0.376,21.843,31.964,276.92499999999995,CONFIRMED
M01,60928,2026-09-10 17:15:54.929650+00:00,2026-09-10 17:15:54.964345+00:00,2026-09-10 17:15:54.661178+00:00,2026-09-10 17:15:54.662094+00:00,2026-09-10 17:15:54.661297+00:00,2026-09-10 17:15:54.909741+00:00,2026-09-10 17:15:54.910000+00:00,,,,,0.11900000000000001,248.444,0.7969999999999999,0.259,19.650000000000002,34.69499999999999,303.16700000000003,CONFIRMED
M01,60929,2026-09-10 17:15:54.992160+00:00,2026-09-10 17:15:55.026285+00:00,2026-09-10 17:15:54.689766+00:00,2026-09-10 17:15:54.691959+00:00,2026-09-10 17:15:54.689876+00:00,2026-09-10 17:15:54.964876+00:00,2026-09-10 17:15:54.965225+00:00,,,,,0.11,275.0,2.083,0.34900000000000003,26.935000000000002,34.125,336.519,CONFIRMED
