machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,55642,2026-09-10 16:33:30.773830+00:00,2026-09-10 16:33:30.805072+00:00,2026-09-10 16:33:30.737601+00:00,2026-09-10 16:33:30.741699+00:00,2026-09-10 16:33:30.737891+00:00,2026-09-10 16:33:30.741024+00:00,2026-09-10 16:33:30.742017+00:00,,,,,0.29,3.133,3.8080000000000003,0.993,31.813000000000002,31.241999999999997,67.471,CONFIRMED
M01,55643,2026-09-10 16:33:31.769351+00:00,2026-09-10 16:33:31.807212+00:00,2026-09-10 16:33:31.743808+00:00,2026-09-10 16:33:31.746574+00:00,2026-09-10 16:33:31.744545+00:00,2026-09-10 16:33:31.745740+00:00,2026-09-10 16:33:31.746062+00:00,,,,,0.737,1.195,2.029,0.322,23.289,37.861,63.404,CONFIRMED
M01,55644,2026-09-10 16:33:32.780486+00:00,2026-09-10 16:33:32.808750+00:00,2026-09-10 16:33:32.755521+00:00,2026-09-10 16:33:32.757767+00:00,2026-09-10 16:33:32.755717+00:00,2026-09-10 16:33:32.758309+00:00,2026-09-10 16:33:32.758867+00:00,,,,,0.196,2.592,2.0500000000000003,0.558,21.619,28.264,53.229,CONFIRMED
M01,55645,2026-09-10 16:33:33.783336+00:00,2026-09-10 16:33:33.812560+00:00,2026-09-10 16:33:33.762540+00:00,2026-09-10 16:33:33.763642+00:00,2026-09-10 16:33:33.762767+00:00,2026-09-10 16:33:33.763398+00:00,2026-09-10 16:33:33.763890+00:00,,,,,0.22699999999999998,0.631,0.875,0.49200000000000005,19.446,29.224,50.02,CONFIRMED
M01,55646,2026-09-10 16:33:34.799876+00:00,2026-09-10 16:33:34.830005+00:00,2026-09-10 16:33:34.768347+00:00,2026-09-10 16:33:34.769712+00:00,2026-09-10 16:33:34.768583+00:00,2026-09-10 16:33:34.769262+00:00,2026-09-10 16:33:34.770385+00:00,,,,,0.236,0.679,1.129,1.123,29.491,30.128999999999998,61.657999999999994,CONFIRMED
M01,55647,2026-09-10 16:33:35.801342+00:00,2026-09-10 16:33:35.827364+00:00,2026-09-10 16:33:35.775022+00:00,2026-09-10 16:33:35.777098+00:00,2026-09-10 16:33:35.775243+00:00,2026-09-10 16:33:35.775841+00:00,2026-09-10 16:33:35.776265+00:00,,,,,0.221,0.598,1.8550000000000002,0.424,25.076999999999998,26.022,52.342,CONFIRMED
M01,55648,2026-09-10 16:33:36.803794+00:00,2026-09-10 16:33:36.831906+00:00,2026-09-10 16:33:36.779998+00:00,2026-09-10 16:33:36.782185+00:00,2026-09-10 16:33:36.780265+00:00,2026-09-10 16:33:36.781504+00:00,2026-09-10 16:33:36.781816+00:00,,,,,0.26699999999999996,1.239,1.9200000000000002,0.312,21.978,28.112000000000002,51.908,CONFIRMED
M01,55649,2026-09-10 16:33:37.811116+00:00,2026-09-10 16:33:37.836513+00:00,2026-09-10 16:33:37.785153+00:00,2026-09-10 16:33:37.786031+00:00,2026-09-10 16:33:37.785344+00:00,2026-09-10 16:33:37.786355+00:00,2026-09-10 16:33:37.786836+00:00,,,,,0.191,1.011,0.687,0.481,24.28,25.397,51.36,CONFIRMED
M01,55650,2026-09-10 16:33:38.813250+00:00,2026-09-10 16:33:38.845263+00:00,2026-09-10 16:33:38.789731+00:00,2026-09-10 16:33:38.790667+00:00,2026-09-10 16:33:38.789880+00:00,2026-09-10 16:33:38.790653+00:00,2026-09-10 16:33:38.791068+00:00,,,,,0.149,0.773,0.787,0.415,22.182,32.013,55.532,CONFIRMED
M01,55651,2026-09-10 16:33:39.827487+00:00,2026-09-10 16:33:39.865216+00:00,2026-09-10 16:33:39.793498+00:00,2026-09-10 16:33:39.801346+00:00,2026-09-10 16:33:39.793758+00:00,2026-09-10 16:33:39.801925+00:00,2026-09-10 16:33:39.802310+00:00,,,,,0.25999999999999995,8.167,7.588,0.38499999999999995,25.177000000000003,37.729,71.718,CONFIRMED
