machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,62310,2026-09-10 17:23:22.142352+00:00,2026-09-10 17:23:22.203293+00:00,2026-09-10 17:23:22.085332+00:00,2026-09-10 17:23:22.087393+00:00,2026-09-10 17:23:22.085516+00:00,2026-09-10 17:23:22.087724+00:00,2026-09-10 17:23:22.089812+00:00,,,,,0.184,2.2079999999999997,1.877,2.088,52.540000000000006,60.941,117.961,CONFIRMED
M01,62311,2026-09-10 17:23:22.243800+00:00,2026-09-10 17:23:22.288609+00:00,2026-09-10 17:23:22.116999+00:00,2026-09-10 17:23:22.118011+00:00,2026-09-10 17:23:22.117375+00:00,2026-09-10 17:23:22.204498+00:00,2026-09-10 17:23:22.205007+00:00,,,,,0.376,87.123,0.636,0.509,38.793,44.809000000000005,171.61,CONFIRMED
M01,62312,2026-09-10 17:23:22.323311+00:00,2026-09-10 17:23:22.379211+00:00,2026-09-10 17:23:22.145746+00:00,2026-09-10 17:23:22.146764+00:00,2026-09-10 17:23:22.145912+00:00,2026-09-10 17:23:22.289958+00:00,2026-09-10 17:23:22.290762+00:00,,,,,0.166,144.04600000000002,0.852,0.804,32.549,55.9,233.465,CONFIRMED
M01,62313,2026-09-10 17:23:22.414545+00:00,2026-09-10 17:23:22.462383+00:00,2026-09-10 17:23:22.176360+00:00,2026-09-10 17:23:22.177621+00:00,2026-09-10 17:23:22.176546+00:00,2026-09-10 17:23:22.379902+00:00,2026-09-10 17:23:22.380413+00:00,,,,,0.186,203.35600000000002,1.075,0.5109999999999999,34.132000000000005,47.838,286.023,CONFIRMED
M01,62314,2026-09-10 17:23:22.494843+00:00,2026-09-10 17:23:22.542847+00:00,2026-09-10 17:23:22.208752+00:00,2026-09-10 17:23:22.209433+00:00,2026-09-10 17:23:22.208888+00:00,2026-09-10 17:23:22.463059+00:00,2026-09-10 17:23:22.463441+00:00,,,,,0.136,254.171,0.545,0.382,31.402,48.004,334.09499999999997,CONFIRMED
M01,62315,2026-09-10 17:23:22.573118+00:00,2026-09-10 17:23:22.615275+00:00,2026-09-10 17:23:22.241224+00:00,2026-09-10 17:23:22.242279+00:00,2026-09-10 17:23:22.241462+00:00,2026-09-10 17:23:22.543397+00:00,2026-09-10 17:23:22.543797+00:00,,,,,0.23800000000000002,301.935,0.8170000000000001,0.4,29.321,42.157,374.05100000000004,CONFIRMED
M01,62316,2026-09-10 17:23:22.648198+00:00,2026-09-10 17:23:22.704577+00:00,2026-09-10 17:23:22.269459+00:00,2026-09-10 17:23:22.271008+00:00,2026-09-10 17:23:22.269610+00:00,2026-09-10 17:23:22.616214+00:00,2026-09-10 17:23:22.616722+00:00,,,,,0.15100000000000002,346.60400000000004,1.398,0.508,31.475999999999996,56.379,435.118,CONFIRMED
M01,62317,2026-09-10 17:23:22.730706+00:00,2026-09-10 17:23:22.779222+00:00,2026-09-10 17:23:22.300422+00:00,2026-09-10 17:23:22.301351+00:00,2026-09-10 17:23:22.300650+00:00,2026-09-10 17:23:22.705306+00:00,2026-09-10 17:23:22.705737+00:00,,,,,0.228,404.656,0.7010000000000001,0.431,24.969,48.516,478.8,CONFIRMED
M01,62318,2026-09-10 17:23:22.815917+00:00,2026-09-10 17:23:22.867161+00:00,2026-09-10 17:23:22.330028+00:00,2026-09-10 17:23:22.331313+00:00,2026-09-10 17:23:22.330175+00:00,2026-09-10 17:23:22.779980+00:00,2026-09-10 17:23:22.780386+00:00,,,,,0.147,449.805,1.138,0.406,35.531,51.244,537.1329999999999,CONFIRMED
M01,62319,2026-09-10 17:23:22.895056+00:00,2026-09-10 17:23:22.942921+00:00,2026-09-10 17:23:22.360458+00:00,2026-09-10 17:23:22.363777+00:00,2026-09-10 17:23:22.360622+00:00,2026-09-10 17:23:22.867939+00:00,2026-09-10 17:23:22.868497+00:00,,,,,0.164,507.317,3.155,0.558,26.558999999999997,47.864999999999995,582.463,CONFIRMED
M01,62320,2026-09-10 17:23:22.981325+00:00,2026-09-10 17:23:23.063888+00:00,2026-09-10 17:23:22.397702+00:00,2026-09-10 17:23:22.399202+00:00,2026-09-10 17:23:22.397909+00:00,2026-09-10 17:23:22.943813+00:00,2026-09-10 17:23:22.944356+00:00,,,,,0.207,545.904,1.2930000000000001,0.5429999999999999,36.969,82.563,666.1859999999999,CONFIRMED
M01,62321,2026-09-10 17:23:23.174216+00:00,2026-09-10 17:23:23.230809+00:00,2026-09-10 17:23:22.429107+00:00,2026-09-10 17:23:22.430746+00:00,2026-09-10 17:23:22.429277+00:00,2026-09-10 17:23:23.064537+00:00,2026-09-10 17:23:23.065015+00:00,,,,,0.17,635.26,1.469,0.47800000000000004,109.20100000000001,56.592999999999996,801.702,CONFIRMED
M01,62322,2026-09-10 17:23:23.258199+00:00,2026-09-10 17:23:23.303668+00:00,2026-09-10 17:23:22.459839+00:00,2026-09-10 17:23:22.463939+00:00,2026-09-10 17:23:22.459981+00:00,2026-09-10 17:23:23.231611+00:00,2026-09-10 17:23:23.232040+00:00,,,,,0.14200000000000002,771.63,3.9579999999999997,0.429,26.159000000000002,45.469,843.8290000000001,CONFIRMED
M01,62323,2026-09-10 17:23:23.336953+00:00,2026-09-10 17:23:23.388538+00:00,2026-09-10 17:23:22.491187+00:00,2026-09-10 17:23:22.492878+00:00,2026-09-10 17:23:22.491360+00:00,2026-09-10 17:23:23.304441+00:00,2026-09-10 17:23:23.305310+00:00,,,,,0.17300000000000001,813.081,1.518,0.869,31.642999999999997,51.585,897.351,CONFIRMED
M01,62324,2026-09-10 17:23:23.424076+00:00,2026-09-10 17:23:23.488398+00:00,2026-09-10 17:23:22.520571+00:00,2026-09-10 17:23:22.522483+00:00,2026-09-10 17:23:22.521057+00:00,2026-09-10 17:23:23.390344+00:00,2026-09-10 17:23:23.390938+00:00,,,,,0.486,869.287,1.426,0.594,33.138,64.322,967.827,CONFIRMED
M01,62325,2026-09-10 17:23:23.520478+00:00,2026-09-10 17:23:23.567426+00:00,2026-09-10 17:23:22.551106+00:00,2026-09-10 17:23:22.552057+00:00,2026-09-10 17:23:22.551235+00:00,2026-09-10 17:23:23.489823+00:00,2026-09-10 17:23:23.490267+00:00,,,,,0.129,938.588,0.8220000000000001,0.444,30.211,46.94799999999999,1016.3199999999999,CONFIRMED
M01,62326,2026-09-10 17:23:23.610506+00:00,2026-09-10 17:23:23.655205+00:00,2026-09-10 17:23:22.581193+00:00,2026-09-10 17:23:22.582281+00:00,2026-09-10 17:23:22.581437+00:00,2026-09-10 17:23:23.568306+00:00,2026-09-10 17:23:23.569250+00:00,,,,,0.244,986.869,0.844,0.944,41.256,44.699000000000005,1074.012,CONFIRMED
M01,62327,2026-09-10 17:23:23.691703+00:00,2026-09-10 17:23:23.743311+00:00,2026-09-10 17:23:22.609722+00:00,2026-09-10 17:23:22.610656+00:00,2026-09-10 17:23:22.609894+00:00,2026-09-10 17:23:23.656758+00:00,2026-09-10 17:23:23.657396+00:00,,,,,0.17200000000000001,1046.864,0.762,0.638,34.306999999999995,51.608000000000004,1133.589,CONFIRMED
