timestamp,machine_id,vibration,acoustic,temperature,current,IMF_1,IMF_2,IMF_3,signature_valid,seq_gap,inter_arrival_ms,label,label_name
2024-07-01 08:00:01,M02,0.814,0.668,64.84,11.7,0.139,0.037,0.046,1,1,1052,0,NORMAL
2024-07-01 08:00:02,M02,0.747,0.645,63.46,11.67,0.128,0.017,0.026,1,1,1025,0,NORMAL
2024-07-01 08:00:03,M03,0.836,0.565,64.11,12.67,0.181,0.069,0.072,1,1,1006,0,NORMAL
2024-07-01 08:00:04,M03,0.845,0.526,66.26,12.16,0.172,0.033,-0.055,1,1,1065,0,NORMAL
2024-07-01 08:00:05,M03,0.702,0.454,64.97,11.88,0.093,0.083,-0.009,1,1,1017,0,NORMAL
2024-07-01 08:00:06,M03,0.734,0.574,65.66,12.24,0.214,0.062,-0.016,1,1,1021,0,NORMAL
2024-07-01 08:00:07,M01,0.805,0.72,66.33,10.92,0.156,0.104,-0.07,1,1,1020,0,NORMAL
2024-07-01 08:00:08,M01,0.783,0.622,64.19,11.97,0.107,0.024,0.039,1,1,944,0,NORMAL
2024-07-01 08:00:09,M01,0.798,0.573,66.51,13.01,0.217,0.062,-0.009,1,1,1043,0,NORMAL
2024-07-01 08:00:10,M01,0.756,0.624,65.74,12.06,0.19,-0.021,0.028,1,1,1014,0,NORMAL
2024-07-01 08:00:11,M01,0.842,0.523,62.43,12.02,0.1,-0.041,0.086,1,1,1017,0,NORMAL
2024-07-01 08:00:12,M02,0.837,0.586,67.92,12.27,0.245,0.116,-0.012,1,1,997,0,NORMAL
2024-07-01 08:00:13,M01,0.802,0.606,63.93,12.45,0.192,0.014,-0.014,1,1,1026,0,NORMAL
2024-07-01 08:00:14,M02,0.855,0.596,61.57,10.97,0.16,0.055,0.005,1,1,970,0,NORMAL
2024-07-01 08:00:15,M03,0.822,0.64,62.82,11.13,0.236,0.008,0.036,1,1,987,0,NORMAL
2024-07-01 08:00:16,M01,0.756,0.618,62.87,12.1,0.168,-0.04,-0.019,1,1,936,0,NORMAL
2024-07-01 08:00:17,M02,0.817,0.634,65.07,11.63,0.159,0.0,-0.022,1,1,1062,0,NORMAL
2024-07-01 08:00:18,M01,0.751,0.567,64.4,12.66,0.129,0.098,0.039,1,1,1015,0,NORMAL
2024-07-01 08:00:19,M02,0.842,0.645,64.27,11.83,0.188,0.038,0.015,1,1,938,0,NORMAL
2024-07-01 08:00:20,M01,0.796,0.681,66.23,11.0,0.183,-0.117,-0.072,1,1,995,0,NORMAL
2024-07-01 08:00:21,M03,0.79,0.553,65.66,11.34,0.161,-0.015,-0.043,1,1,992,0,NORMAL
2024-07-01 08:00:22,M02,0.765,0.557,65.61,10.59,0.123,0.121,0.055,1,1,1052,0,NORMAL
2024-07-01 08:00:23,M02,0.859,0.667,65.8,11.87,0.167,-0.015,0.015,1,1,1018,0,NORMAL
2024-07-01 08:00:24,M01,0.791,0.591,66.22,11.89,0.157,-0.123,-0.026,1,1,946,0,NORMAL
2024-07-01 08:00:25,M02,0.777,0.67,60.64,11.77,0.097,0.129,-0.005,1,1,986,0,NORMAL
2024-07-01 08:00:26,M02,0.781,0.579,64.21,12.54,0.09,0.046,0.001,1,1,1034,0,NORMAL
2024-07-01 08:00:27,M01,0.825,0.672,60.49,12.6,0.187,-0.005,0.027,1,1,1007,0,NORMAL
2024-07-01 08:00:28,M03,0.817,0.607,65.03,11.9,0.036,-0.026,-0.048,1,1,1014,0,NORMAL
2024-07-01 08:00:29,M03,0.819,0.613,64.95,10.9,0.17,0.074,-0.029,1,1,1016,0,NORMAL
2024-07-01 08:00:30,M03,0.82,0.678,67.1,12.3,0.137,-0.037,0.011,1,1,989,0,NORMAL
2024-07-01 08:00:31,M01,0.905,0.583,67.39,12.27,0.223,0.078,-0.003,1,1,1064,0,NORMAL
2024-07-01 08:00:32,M01,0.779,0.554,65.38,12.15,0.137,0.037,0.022,1,1,1041,0,NORMAL
2024-07-01 08:00:33,M02,0.773,0.578,63.93,12.49,0.192,0.016,-0.043,1,1,1022,0,NORMAL
2024-07-01 08:00:34,M02,0.758,0.623,65.95,11.4,0.141,0.01,0.014,1,1,970,0,NORMAL
2024-07-01 08:00:35,M01,0.829,0.523,63.88,13.01,0.166,-0.012,0.04,1,1,1041,0,NORMAL
2024-07-01 08:00:36,M01,0.855,0.632,64.96,11.5,0.196,0.071,0.018,1,1,931,0,NORMAL
2024-07-01 08:00:37,M01,0.793,0.574,66.98,12.37,0.138,-0.059,0.006,1,1,989,0,NORMAL
2024-07-01 08:00:38,M03,0.757,0.657,63.82,11.13,0.208,-0.111,-0.002,1,1,991,0,NORMAL
2024-07-01 08:00:39,M03,0.758,0.482,66.61,11.52,0.113,0.042,-0.029,1,1,1023,0,NORMAL
2024-07-01 08:00:40,M01,0.831,0.562,66.35,12.76,0.174,0.043,-0.002,1,1,966,0,NORMAL
2024-07-01 08:00:41,M02,0.836,0.517,63.0,11.86,0.204,0.033,0.046,1,1,1004,0,NORMAL
2024-07-01 08:00:42,M01,0.826,0.56,66.96,12.42,0.192,0.028,-0.003,1,1,949,0,NORMAL
2024-07-01 08:00:43,M01,0.766,0.613,66.39,12.11,0.252,-0.022,-0.031,1,1,1055,0,NORMAL
2024-07-01 08:00:44,M02,0.81,0.592,65.17,11.94,0.124,0.053,-0.017,1,1,1067,0,NORMAL
2024-07-01 08:00:45,M03,0.804,0.588,63.4,12.69,0.094,-0.003,0.008,1,1,952,0,NORMAL
2024-07-01 08:00:46,M01,0.81,0.593,63.2,11.87,0.113,-0.034,-0.012,1,1,1019,0,NORMAL
2024-07-01 08:00:47,M02,0.842,0.611,63.86,11.08,0.192,-0.022,0.018,1,1,1029,0,NORMAL
2024-07-01 08:00:48,M01,0.81,0.551,66.07,11.58,0.184,0.138,0.02,1,1,1031,0,NORMAL
2024-07-01 08:00:49,M02,0.832,0.636,63.0,12.27,0.165,-0.119,0.033,1,1,997,0,NORMAL
2024-07-01 08:00:50,M01,0.802,0.633,65.86,12.19,0.107,0.034,0.052,1,1,975,0,NORMAL
2024-07-01 08:00:51,M01,0.813,0.62,62.41,11.19,0.197,-0.115,0.037,1,1,1013,0,NORMAL
2024-07-01 08:00:52,M01,0.83,0.628,64.54,11.62,0.102,-0.008,-0.033,1,1,1007,0,NORMAL
2024-07-01 08:00:53,M01,0.726,0.615,65.18,11.69,0.216,-0.03,-0.031,1,1,946,0,NORMAL
2024-07-01 08:00:54,M03,0.783,0.701,69.97,11.8,0.297,-0.143,-0.002,1,1,1025,0,NORMAL
2024-07-01 08:00:55,M02,0.775,0.596,62.14,11.29,0.178,0.026,-0.015,1,1,1003,0,NORMAL
2024-07-01 08:00:56,M01,0.767,0.585,67.98,11.67,0.188,-0.026,-0.04,1,1,997,0,NORMAL
2024-07-01 08:00:57,M01,0.785,0.563,65.27,11.62,0.137,-0.144,-0.015,1,1,1081,0,NORMAL
2024-07-01 08:00:58,M02,0.873,0.55,65.8,12.38,0.074,0.057,-0.016,1,1,959,0,NORMAL
2024-07-01 08:00:59,M03,0.756,0.539,65.2,12.4,0.131,0.098,-0.023,1,1,968,0,NORMAL
2024-07-01 08:01:00,M01,0.847,0.557,65.87,11.92,0.108,0.101,-0.01,1,1,978,0,NORMAL
2024-07-01 08:01:01,M03,0.715,0.597,64.64,11.79,0.091,0.024,0.043,1,1,1053,0,NORMAL
2024-07-01 08:01:02,M03,0.782,0.617,67.94,12.06,0.243,0.003,0.008,1,1,1072,0,NORMAL
2024-07-01 08:01:03,M01,0.807,0.603,64.02,11.57,0.173,0.09,0.09,1,1,984,0,NORMAL
2024-07-01 08:01:04,M01,0.828,0.563,67.28,11.41,0.178,0.115,0.007,1,1,1099,0,NORMAL
2024-07-01 08:01:05,M01,0.834,0.645,63.64,11.51,0.146,0.077,-0.009,1,1,977,0,NORMAL
2024-07-01 08:01:06,M01,0.838,0.637,64.84,11.67,0.152,-0.065,0.001,1,1,929,0,NORMAL
2024-07-01 08:01:07,M01,0.781,0.593,62.76,11.4,0.206,0.013,0.01,1,1,1038,0,NORMAL
2024-07-01 08:01:08,M01,0.776,0.568,65.89,12.07,0.159,0.03,0.017,1,1,1096,0,NORMAL
2024-07-01 08:01:09,M02,0.841,0.628,67.92,12.36,0.186,-0.124,0.076,1,1,1058,0,NORMAL
2024-07-01 08:01:10,M03,0.789,0.61,64.8,11.18,0.151,0.032,-0.029,1,1,1002,0,NORMAL
2024-07-01 08:01:11,M03,0.735,0.529,64.56,12.0,0.144,0.155,0.032,1,1,934,0,NORMAL
2024-07-01 08:01:12,M01,0.742,0.597,62.68,11.88,0.093,0.043,0.008,1,1,1058,0,NORMAL
2024-07-01 08:01:13,M03,0.753,0.614,64.49,12.16,0.066,0.1,-0.055,1,1,998,0,NORMAL
2024-07-01 08:01:14,M02,0.823,0.556,61.69,11.98,0.148,0.012,0.029,1,1,1025,0,NORMAL
2024-07-01 08:01:15,M01,0.806,0.61,63.09,11.25,0.163,-0.005,0.047,1,1,976,0,NORMAL
2024-07-01 08:01:16,M01,0.833,0.529,65.42,11.35,0.099,0.026,-0.03,1,1,981,0,NORMAL
2024-07-01 08:01:17,M01,0.778,0.667,67.66,12.01,0.159,-0.056,0.001,1,1,1005,0,NORMAL
2024-07-01 08:01:18,M02,0.807,0.662,70.72,12.51,0.163,-0.066,-0.061,1,1,925,0,NORMAL
2024-07-01 08:01:19,M02,0.83,0.588,63.76,10.86,0.057,0.086,-0.044,1,1,1047,0,NORMAL
2024-07-01 08:01:20,M02,0.783,0.619,67.9,12.17,0.117,0.093,0.039,1,1,971,0,NORMAL
2024-07-01 08:01:21,M01,0.821,0.482,65.46,12.6,0.18,-0.068,-0.016,1,1,989,0,NORMAL
2024-07-01 08:01:22,M01,0.766,0.543,64.65,11.91,0.179,0.066,-0.039,1,1,1013,0,NORMAL
2024-07-01 08:01:23,M03,0.781,0.586,65.85,12.27,0.105,-0.006,0.009,1,1,964,0,NORMAL
2024-07-01 08:01:24,M02,0.78,0.548,65.09,11.63,0.168,0.023,-0.018,1,1,1042,0,NORMAL
2024-07-01 08:01:25,M01,0.739,0.636,65.19,11.93,0.209,0.031,-0.016,1,1,1080,0,NORMAL
2024-07-01 08:01:26,M03,0.823,0.699,64.12,11.16,0.197,0.068,0.028,1,1,1001,0,NORMAL
2024-07-01 08:01:27,M03,0.775,0.542,62.09,10.79,0.156,0.005,-0.041,1,1,1049,0,NORMAL
2024-07-01 08:01:28,M03,0.799,0.559,61.8,12.47,0.138,0.096,-0.032,1,1,1025,0,NORMAL
2024-07-01 08:01:29,M02,0.823,0.612,66.3,11.49,0.13,0.021,0.007,1,1,1047,0,NORMAL
2024-07-01 08:01:30,M03,0.821,0.68,64.39,11.76,0.183,0.042,0.036,1,1,973,0,NORMAL
2024-07-01 08:01:31,M01,0.832,0.54,63.74,11.28,0.17,-0.057,0.045,1,1,993,0,NORMAL
2024-07-01 08:01:32,M02,0.794,0.613,64.98,11.27,0.19,0.147,-0.023,1,1,948,0,NORMAL
2024-07-01 08:01:33,M01,0.778,0.691,66.59,11.9,0.167,0.032,0.035,1,1,1053,0,NORMAL
2024-07-01 08:01:34,M02,0.795,0.519,65.33,11.62,0.199,0.048,-0.027,1,1,1009,0,NORMAL
2024-07-01 08:01:35,M03,0.715,0.537,63.62,12.18,0.165,-0.11,0.067,1,1,937,0,NORMAL
2024-07-01 08:01:36,M03,0.727,0.58,67.47,12.22,0.198,-0.056,-0.04,1,1,1066,0,NORMAL
2024-07-01 08:01:37,M01,0.733,0.575,68.2,12.15,0.202,0.084,0.049,1,1,974,0,NORMAL
2024-07-01 08:01:38,M03,0.749,0.641,65.97,12.11,0.122,0.019,-0.023,1,1,989,0,NORMAL
2024-07-01 08:01:39,M02,0.819,0.613,66.96,12.79,0.074,-0.131,0.073,1,1,1056,0,NORMAL
2024-07-01 08:01:40,M02,0.754,0.513,67.51,11.45,0.234,0.071,0.022,1,1,984,0,NORMAL
2024-07-01 08:01:41,M03,0.78,0.626,67.28,11.96,0.173,-0.037,-0.035,1,1,1002,0,NORMAL
2024-07-01 08:01:42,M03,0.863,0.572,66.22,12.57,0.078,0.096,-0.018,1,1,1057,0,NORMAL
2024-07-01 08:01:43,M03,0.781,0.664,66.19,12.63,0.126,-0.006,0.029,1,1,1034,0,NORMAL
